幣別,現金(買),現金(賣),即期(買),即期(賣)
美金 (USD),27.645,28.315,27.995,28.095
港幣 (HKD),3.432,3.636,3.558,3.618
英鎊 (GBP),36.15,38.27,37.16,37.56
澳幣 (AUD),19.99,20.77,20.28,20.48
加拿大幣 (CAD),21.55,22.46,21.95,22.15
新加坡幣 (SGD),20.08,20.99,20.57,20.75
瑞士法郎 (CHF),29.68,30.88,30.36,30.61
日圓 (JPY),0.2346,0.2474,0.2419,0.2459
南非幣 (ZAR),-,-,1.778,1.858
瑞典幣 (SEK),2.52,3.04,2.86,2.96
紐元 (NZD),18.51,19.36,18.89,19.09
泰幣 (THB),0.7309,0.9209,0.8433,0.8833
菲國比索 (PHP),0.4724,0.6054,-,-
印尼幣 (IDR),0.00163,0.00233,-,-
歐元 (EUR),30.37,31.71,30.99,31.39
韓元 (KRW),0.02153,0.02543,-,-
越南盾 (VND),0.00101,0.00142,-,-
馬來幣 (MYR),5.679,7.159,-,-
人民幣 (CNY),4.342,4.504,4.414,4.464
