中文片名,英文片名,期待度,海報圖片,上映日
打噴嚏,A Choo,73%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2020/3seH0VLQMOyt3eNl7vnM-504x720.jpg,2020-07-15
屍速列車：感染半島,Peninsula,96%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2020/pKBfthQIekNEK9Gn4hMu-993x1418.JPG,2020-07-15
海星,Starfish,78%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/June2020/4g6hbVyAauNznN6Wmyqh-504x720.jpg,2020-07-17
綠光 經典數位修復,The Green Ray,63%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2020/bm4vRotOJK8XANYWiBlH-509x720.jpg,2020-07-17
誰偷了班克西？,The Man Who Stole Banksy,92%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/June2020/1XIMoRfp92SriToj7H84-500x714.jpg,2020-07-17
甜心大叔,Reon,93%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/June2020/LvTBt2Kdr6AoLkXWe1wl-504x720.JPG,2020-07-17
藍色恐懼：數位修復版,Perfect Blue,72%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/June2020/Wx8Q5cVmBT5LFJ2uN5rM-504x720.jpg,2020-07-17
不丹是教室,Lunana: A Yak in the Classroom,81%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/June2020/SYxcLM1fVck7jJmxCw2J-504x720.jpg,2020-07-17
傻傻愛你，傻傻愛我,"A Fool In LOVE,Love Like A Fool",92%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/October2019/cTm35gQbm1zcPiAZ0dpM-800x1143.jpg,2020-07-18
小路與我的秘密驛站,Show Me the Way To The Station,44%,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/July2020/tYBpnaXP7t2o2IxbG1dC-499x720.jpg,2020-07-19
