mday,tot,sbi,bemp
20200411100826,180,57,119
20200411101022,180,57,119
20200411101222,180,59,117
20200411101423,180,59,117
20200411101623,180,57,119
20200411101823,180,57,119
20200411102022,180,58,118
20200411102222,180,55,121
20200411102422,180,59,117
20200411102622,180,59,117
20200411102822,180,59,117
20200411103022,180,58,118
20200411103223,180,59,116
20200411103422,180,59,116
20200411103623,180,58,117
20200411103823,180,71,104
20200411104023,180,75,100
20200411104223,180,77,98
20200411104425,180,82,95
20200411104623,180,92,85
